Dependency=proto_bldg_type	bldsh=1	bldsh=2	bldsh=3	bldsh=4	bldsh=5	bldsh=6	bldsh=7	bldsh=8	bldsh=9	bldsh=10	bldsh=11	bldsh=missing
full_service_restaurant	0.151774188	0.600773613	0.055105694	0.007397965	0.003633733	0	0.0055266	0.006745663	0.01433613	0.000195397	0.025639546	0.128871471
hospital	0.009709046	0.25888648	0.023270271	0.090338507	0.145136789	0.013223317	0.008182452	0.059737956	0.039433594	0.070657312	0.198702392	0.082721886
large_hotel	0.010790633	0.638457648	0.087496351	0.021119491	0.006670775	0.092832942	0.007652315	0.025370978	0.046163657	0.001207051	0.018533762	0.043704396
midrise_apartment	0.048243737	0.332926915	0.027649917	0.093057439	0.075108915	0.036871106	0.028341729	0.036110755	0.031501137	0.141361173	0.10252564	0.046301539
highrise_apartment	0	0	0	0	0	0	0	0	0	0	0	0
outpatient	0.123844008	0.649577386	0.036024	0.020402929	0.013814539	0.006169273	0.001565918	0.005451944	0.0480139	0.00014122	0.032876337	0.062118546
primary_school	0.063601508	0.544826621	0.09246838	0.049523425	0.014176527	0.025118775	0.010890467	0.020146859	0.065750219	0.021723596	0.037004354	0.054769267
quick_service_restaurant	0.100530712	0.805293155	0.046667422	0	0	0	0	0	0	0	0	0.04750871
retail	0.096433498	0.607090407	0.052554191	0.000800349	0.005374992	0.003323916	0.003456311	0.016500891	0.011216068	0	0.005114603	0.198134775
secondary_school	0.070028753	0.436581737	0.134667736	0.051251185	0.01357661	0.055615176	0.013120395	0.06398721	0.040517147	0.011316816	0.073004341	0.036332895
small_hotel	0.12854602	0.447586214	0.136897413	0.021804437	0.006766726	0.058110453	0.003516112	0.010191384	0.065974348	0.027660563	0.013573073	0.079373258
strip_mall	0.042631628	0.605934151	0.190314632	0.004202115	0	0.012039989	0.000220493	0.001261606	0.107139025	0	0.004968635	0.031287727
super_market	0	0	0	0	0	0	0	0	0	0	0	0
warehouse	0.063623916	0.657492118	0.094530178	0.011371791	0.000341922	0.007451714	0	0.000252487	0.035458115	0	0.022581019	0.106896741
small_office	0.124288719	0.593157383	0.064888706	0.018328271	0.00590468	0.016155488	0.000147545	0.015709605	0.049853362	0.001215377	0.02118044	0.089170423
medium_office	0.118979169	0.607303123	0.049795152	0.018906238	0.014667601	0.010025996	0.000994998	0.005648941	0.04226777	0.003055672	0.015285491	0.11306985
large_office	0	0	0	0	0	0	0	0	0	0	0	0
no_match	0.089213422	0.606581941	0.10607381	0.012945441	0.004172389	0.007692448	0.002260537	0.021640227	0.03427339	0.003900468	0.025738996	0.085506931
